object_label,collection,smg_id,inventory_number,object_q_code,general_label,general_description,general_term_qcode
Six head automatic pirn winder ,BIM,,T79-480,Q127784950,pirn winder,"machine used traditionally in wool textile manufacture, especially in Scotland, to wind yarn onto pirns (a type of bobbin)",Q127598358
hank winder,BIM,,T80-346,Q127784951,bobbin to hank winder,"A machine used in the textile industry to transfer yarn from bobbins onto hanks, which are coiled lengths of yarn. This process prepares the yarn for dyeing, storage, or further processing. Note: description generated using ChatGPT 4o",Q127786318
single head cheese winder,BIM,,IM72-341,Q127784952,cheese winder,"in the textile industry, a machine used for winding packages of yarn known as 'cheeses', which are usually cross-wound",Q127786327
Sowden drop box loom,BIM,,IM70-64,Q127784955,drop box loom,"in the textile industry, a loom which comes fitted with a drop box, a device enabling a weaver to easily switch between shuttles",Q127786333
foot treadle winder,BIM,,T85-57,Q127784956,treadle winder,"in the textile industry, a winder which is operated by foot using a treadle",Q127786336
warping mill,BIM,,IM73-776/1-2,Q127784957,warping mill,machine used in the preparatory stage of weaving,Q127786341
horizontal or Scotch power warping mill,BIM,,IM72-1256,Q127784958,horizontal warping mill,machine used in the preparatory stage of weaving,Q127786342
Uster knotting frame,BIM,,T81-318,Q127784960,knotting frame,"deviced used in weaving, carpet manufacture, and upholstery",Q127786343
1-6 Spindle roving frame,BIM,,T77-72,Q127784961,roving frame,"machine used in textile manufacture including cotton, for stretching and thinning cotton prior to the spinning process",Q127786349
1-6 Spindle roving frame,BIM,,T77-72,Q127784961,roving frame,"machine used in textile manufacture including cotton, for stretching and thinning cotton prior to the spinning process",Q127786349
sectional warping machine,BIM,,IM73-24,Q127784962,sectional warping machine,warping machine which prepares the warp in sections before combining them into a single warp beam,Q127786353
48-spindle roving frame,BIM,,IM71-348,Q127784964,silk roving frame,roving frame designed for the manufacture of silk textile products,Q127786356
Single swift sample carding machine with lattice feed,BIM,,T81-236,Q127784965,single swift carding machine,"carding machine used in the textile manufacturing industry, comprising a single swift or roller",Q127786359
spindle winding machine,BIM,,T75-461,Q127784966,spindle winding machine,machine used in the textile industry to wind yarn onto spindles or bobbins,Q127786360
Tappet Loom,BIM,,IM73-707,Q127784967,tappet loom,type of loom that uses tappets to control the loom's heddles,Q127786363
"8 spindle twisting frame, J.B Farrar, Halifax",BIM,,IM72-354,Q127784968,twisting frame,machine used during the twisting process of textile manufacture,Q127786370
"8 spindle universal flyer twister, Hall and Stells",BIM,,IM72-375,Q127784969,universal flyer twister,"textile machinery used for twisting together single yarns, fed through a rotating flyer mechanism",Q127786371
12 spindle universal ring twister B82,BIM,,IM71-1109,Q127784970,universal ring twister,"textile machinery used for twisting together single yarns, using a ring and traveler mechanism",Q127786372
"Vertical Bradford warping mill, c/w rise and falling heck, creel and leasing pegs",BIM,,IM72-332,Q127784971,vertical warping mill,machine used in the preparatory stage of weaving,Q127786373
Uster warp knotting machine,BIM,,T76-367,Q127784972,warp knotting machine,"machine used in the textile industry to tie together warp yarns, enabling continous weaving",Q127786374
small Saurer warp twisting machine,BIM,,T2008-223,Q127784973,warp twisting machine,machine used in the textile industry that connects individual warp yarns together by twisting their ends together,Q127786375
